Name,Location,Latitude,Longitude
K1B7,Boothville Heliport,29.35,-89.433
K1F0,"Ardmore, Ardmore Downtown Executive Airport",34.146,-97.122
K1H2,"Effingham, Effingham County Memorial Airport",39.070,-88.533
K1J0,TRI COUNTY AIRPORT,30.833,-85.6
K1M4,"Haleyville, Posey Field Airport",34.280,-87.600
K1P1,"Plymouth, Plymouth Municipal Airport",43.779,-71.753
K1V4,ST JOHNSBURY FAIRBANKS,44.416,-72.016
K20U,Beach Airport Beach,46.925,-103.981
K20V,"Kremmling, Mc Elroy Airfield",40.053,-106.368
K21D,Lake Elmo Airport,44.0,-92.85
K29G,Ravenna / Portage County,41.216,-81.25
K2C8,Cavalier Municipal Airport,48.783,-97.631
K2D5,Oakes Municipal Airport,46.173,-98.08
K2DP,Dare County Gunnery Range,35.666,-75.9
K2GL,"Galliano, Galliano Heliport",29.413,-90.298
K2WX,BUFFALO,45.6,-103.55
K36U,"Heber, Heber City Municipal-Russ McDonald Field Airport",40.481,-111.428
K3A1,"Cullman, Folsom Field Airport",34.268,-86.858
K3A6,Newhall,34.366,-118.566
K3B6,Eugene Island 330,28.083,-92.7
K3DU,Drummond,46.666,-113.15
K3I2,"Point Pleasant, Mason County Airport",38.914,-82.098
K3J7,"Greensboro, Greene County Regional Airport",33.597,-83.138
K3LF,"Litchfield, Litchfield Municipal Airport",39.162,-89.674
K3MW,Mount Werner,40.459,-106.759
K3T5,"La Grange, Fayette Regional Air Center Airport",29.908,-96.95
K40B,Clayton Lake,46.616,-69.533
K40J,PERRY-FOLEY AIRPORT,30.066,-83.583
K46D,Carrington Municipal Airport,47.451,-99.151
K47A,"Canton, Cherokee County Airport",34.310,-84.423
K48I,"Sutton, Braxton County Airport",38.686,-80.651
K4A9,"Fort Payne, Isbell Field Airport",34.473,-85.721
K4BL,Blanding,37.616,-109.466
K4BM,Wilkerson Pass,39.050,-105.514
K4CR,Corona / Lincoln,34.1,-105.683
K4HV,Hanksville,38.366,-110.716
K4MR,Melrose Gunnery Range,34.3,-103.8
K4MY,Moriarty,34.983,-106.05
K4O4,"Idabel, Mc Curtain County Regional Airport",33.909,-94.859
K4SL,Torreon,35.8,-107.183
K5H4,Harvey Municipal Airport,47.791,-99.931
K5SM,Sunlight,39.425,-107.379
K5T6,"Santa Teresa, Dona Ana County Airport at Santa Teresa",31.880,-106.704
K6R6,DRYDEN-TERRELL COUNTY AIRPORT,30.05,-102.216
K6V3,"Richlands, Tazewell County Airport",37.063,-81.798
K76S,Oak Harbor Airpark,48.25,-122.666
K77M,Malta,42.316,-113.333
K79J,OPP/ANDALUSIA,31.3,-86.383
K7BM,Cottonwood Pass,38.782,-106.218
K7L2,Linton Municipal Airport,46.220,-100.245
K7R3,Amelia / Lake Palourd,29.7,-91.1
K7R4,Intracoastal City,29.783,-92.133
K8A0,"Albertville, Albertville Municipal Airport",34.228,-86.255
K8D3,SISSETON MUNICIPAL AIRPORT,45.666,-96.983
K8S0,"Browning, Starr-Browning Airstrip",48.601,-113.114
K96D,Walhalla Municipal Airport,48.940,-97.902
K9D7,Cando Municipal Airport,48.48,-99.236
K9F2,Fourchon Supplementary Aviation Weather Reporting Station,29.1,-90.2
K9L2,"Edwards, Edwards Air Force Auxiliary North Base",34.983,-117.85
K9V9,CHAMBERLAIN MUNICIPAL AIRPORT,43.766,-99.316
KAAA,"Lincoln, Logan County Airport",40.158,-89.334
KAAF,APALACHICOLA MUNICIPAL AIRPORT,29.733,-85.016
KAAO,WICHITA JABARA AIRPORT,37.75,-97.216
KAAT,ALTURAS,41.483,-120.566
KABE,LEHIGH VALLEY INTERNATIONAL  AIRPORT,40.65,-75.45
KABI,ABILENE REGIONAL AIRPORT,32.416,-99.683
KABQ,ALBUQUERQUE INTERNATIONAL  AIRPORT,35.033,-106.6
KABR,ABERDEEN REGIONAL AIRPORT,45.45,-98.416
KABY,ALBANY SOUTHWEST GEORGIA,31.533,-84.2
KACB,"Bellaire, Antrim County Airport",44.988,-85.198
KACK,NANTUCKET MEMORIAL AIRPORT,41.25,-70.066
KACP,"Oakdale, Allen Parish Airport",30.750,-92.688
KACQ,"Waseca, Waseca Municipal Airport",44.073,-93.553
KACT,WACO REGIONAL AIRPORT,31.6,-97.216
KACV,ARCATA/EUREKA ARCATA AIRPORT,40.983,-124.1
KACY,ATLANTIC CITY INTERNATIONAL,39.466,-74.583
KADC,"Wadena, Wadena Municipal Airport",46.450,-95.210
KADG,ADRIAN LENAWEE COUNTY AIRPORT,41.866,-84.083
KADH,"Ada, Ada Municipal Airport",34.804,-96.671
KADM,"Ardmore, Ardmore Municipal Airport",34.303,-97.019
KADS,Dallas / Addison Airport,32.966,-96.833
KADU,"Audubon, Audubon County Airport",41.701,-94.920
KADW,Camp Springs / Andrews Air Force Base,38.816,-76.85
KAEG,"Albuquerque, Double Eagle II Airport",35.145,-106.795
KAEJ,Buena Vista,38.814,-106.120
KAEL,"Albert Lea, Albert Lea Municipal Airport",43.683,-93.366
KAEX,ALEXANDRIA INTERNATIONAL AIRPORT,31.55,-92.933
KAFF,Air Force Academy,38.966,-104.816
KAFJ,"Washington, Washington County Airport",40.133,-80.283
KAFK,"Nebraska City, Nebraska City Municipal Airport",40.6,-95.85
KAFN,JAFFREY MUNI-SILVER RANCH,42.8,-72.0
KAFP,"Wadesboro, Anson County Airport",35.020,-80.076
KAFW,FORT WORTH ALLIANCE AIRPORT,32.983,-97.316
KAGC,PITTSBURGH ALLEGHENY CTY.,40.35,-79.916
KAGS,AUGUSTA BUSH FIELD,33.366,-81.966
KAHN,ATHENS BEN EPPS AIRPORT,33.95,-83.333
KAIA,ALLIANCE MUNICIPAL AIRPORT,42.05,-102.8
KAID,Anderson Municipal,40.116,-85.616
KAIG,"Antigo, Langlade County Airport",45.15,-89.1
KAIO,Atlantic,41.4,-95.05
KAIT,"Aitkin, Aitkin Municipal Airport-Steve Kurtz Field",46.55,-93.683
KAIZ,"Kaiser Lake Ozark, Lee C Fine Memorial Airport",38.1,-92.55
KAJG,"Mount Carmel, Mount Carmel Municipal Airport",38.606,-87.726
KAKH,GASTONIA MUNICIPAL AIRPORT,35.2,-81.15
KAKO,COLORADO PLAINS REGIONAL,40.166,-103.216
KAKQ,WAKEFIELD MUNICIPAL AIRPOR,36.983,-77.0
KAKR,AKRON FULTON INTERNATIONAL,41.033,-81.466
KALB,ALBANY INTERNATIONAL AIRPORT,42.75,-73.8
KALI,ALICE INTERNATIONAL AIRPORT,27.733,-98.016
KALM,Alamogordo-White,32.833,-105.983
KALN,"Alton/St. Louis, St. Louis Regional Airport",38.9,-90.05
KALO,WATERLOO MUNICIPAL AIRPORT,42.55,-92.4
KALS,SAN LUIS VALLEY REGIONAL,37.433,-105.866
KALW,WALLA WALLA REGIONAL AIRPORT,46.1,-118.283
KALX,"Alexander City, Thomas C Russell Field Airport",32.914,-85.962
KAMA,AMARILLO INTERNATIONAL  AIRPORT,35.216,-101.716
KAMG,ALMA BACON COUNTY AIRPORT,31.533,-82.5
KAMN,"Alma, Gratiot Community Airport",43.321,-84.687
KAMW,AMES MUNICIPAL AIRPORT,41.983,-93.616
KANB,ANNISTON METRO AIRPORT,33.583,-85.85
KAND,ANDERSON COUNTY AIRPORT,34.5,-82.716
KANE,Minneapolis / Blaine,45.15,-93.216
KANJ,SAULT STE. MARIE MUNI,46.483,-84.35
KANW,Ainsworth Municipal,42.583,-100.0
KAOH,LIMA ALLEN COUNTY AIRPORT,40.7,-84.016
KAOO,ALTOONA-BLAIR COUNTY AIRPORT,40.3,-78.316
KAPA,DENVER CENTENNIAL AIRPORT,39.566,-104.85
KAPC,NAPA COUNTY AIRPORT,38.2,-122.283
KAPF,NAPLES MUNICIPAL AIRPORT,26.15,-81.766
KAPG,Phillips Army Air Field / Aberdeen,39.466,-76.166
KAPN,ALPENA COUNTY REGIONAL AIRPORT,45.083,-83.566
KAPV,Apple Valley,34.583,-117.183
KAQO,"Llano, Llano Municipal Airport",30.783,-98.661
KAQP,"Appleton, Appleton Municipal Airport",45.227,-96.004
KAQR,"Atoka, Atoka Municipal Airport",34.398,-96.148
KAQV,"Ft. Polk, Peason Ridge",31.666,-93.45
KAQW,N ADAMS HARRIMAN-AND-WEST,42.7,-73.166
KARA,NEW IBERIA ACADIANA REGIONAL,30.033,-91.883
KARB,ANN ARBOR MUNICIPAL AIRPORT,42.216,-83.75
KARG,"Walnut Ridge, Walnut Ridge Regional Airport",36.133,-90.916
KARL,Arlington,41.7,-106.216
KARM,"Wharton, Wharton Regional Airport",29.254,-96.154
KARR,CHICAGO AURORA MUNICIPAL,41.766,-88.466
KART,WATERTOWN INTERNATIONAL  AIRPORT,43.983,-76.033
KARV,"Minocqua/Woodruff, Lakeland Airport/Noble F. Lee Memorial Field",45.933,-89.733
KASD,SLIDELL AIRPORT,30.35,-89.816
KASE,ASPEN-PITKIN COUNTY AIRPORT,39.233,-106.866
KASG,Springdale Municipal,36.183,-94.116
KASH,"Nashua, Boire Field Airport",42.781,-71.514
KASJ,"Ahoskie, Tri-County Airport",36.297,-77.170
KAST,PORT OF ASTORIA AIRPORT,46.15,-123.883
KASW,"Warsaw, Warsaw Municipal Airport",41.274,-85.840
KASX,ASHLAND KENNEDY MEMORIAL,46.55,-90.916
KATL,HARTSFIELD-JACKSON ATLANTA,33.65,-84.433
KATP,Atlantis,27.195,-90.026
KATS,"Artesia, Artesia Municipal Airport",32.852,-104.467
KATT,CAMP MABRY/AUSTIN CITY ASOS,30.316,-97.766
KATW,Appleton / Outagamie,44.25,-88.516
KATY,WATERTOWN MUNICIPAL AIRPORT,44.9,-97.15
KAUD,Audubon Park,29.933,-90.133
KAUG,AUGUSTA STATE AIRPORT,44.316,-69.8
KAUH,"Aurora, Aurora Municipal Airport",40.893,-97.994
KAUM,Austin Municipal,43.666,-92.933
KAUN,"Auburn, Auburn Municipal Airport",38.95,-121.066
KAUO,Auburn-Opelika Airport,32.616,-85.433
KAUS,AUSTIN-BERGSTROM INTERNATIONAL  AIRPORT,30.183,-97.683
KAUW,WAUSAU DOWNTOWN AIRPORT,44.933,-89.616
KAVC,"South Hill, Mecklenburg-Brunswick Regional Airport",36.688,-78.054
KAVK,"Alva, Alva Regional Airport",36.773,-98.669
KAVL,ASHEVILLE REGIONAL AIRPORT,35.433,-82.533
KAVP,WILKES-BARRE/SCRANTON INTERNATIONAL,41.333,-75.733
KAVX,AVALON CATALINA AIRPORT,33.4,-118.416
KAWG,Washington,41.283,-91.666
KAWH,Wildhorse Reservation / Elko,41.666,-115.783
KAWM,WEST MEMPHIS MUNICIPAL AIRPORT,35.133,-90.233
KAWO,Arlington Municipal,48.166,-122.166
KAXA,Algona,43.083,-94.266
KAXN,CHANDLER FIELD,45.866,-95.4
KAXO,Grand Isle Supplementary Aviation Weather Reporting Station,29.25,-89.966
KAXS,"Altus, Altus/Quartz Mountain Regional Airport",34.698,-99.338
KAYS,"Waycross / Ware County, Ga",31.25,-82.4
KAZC,"Colorado City, Colorado City Municipal Airport",36.95,-113.0
KAZO,KALAMAZOO/BATTLE CREEK AIRPORT,42.233,-85.55
KB23,Battle Mountain,40.6,-116.866
KBAB,"Marysville, Beale Air Force Base",39.133,-121.433
KBAC,Barnes County Municipal Airport,46.941,-98.018
KBAD,Barksdale Air Force Base,32.5,-93.666
KBAF,WESTFIELD BARNES MUNICIPAL,42.166,-72.716
KBAK,Columbus / Bakalar,39.266,-85.9
KBAN,"MCMWTC BRIDGEPORT, CA",38.35,-119.516
KBAX,"Bad Axe, Huron County Memorial Airport",43.780,-82.985
KBAZ,NEW BRAUNFELS MUNICIPAL AIRPORT,29.716,-98.05
KBBB,Benson Municipal,45.316,-95.65
KBBD,"Brady, Curtis Field Airport",31.179,-99.323
KBBF,Brazos 133,27.835,-96.013
KBBW,BROKEN BOW MUNICIPAL AIRPORT,41.433,-99.633
KBCB,Virginia Tech Airport,37.216,-80.416
KBCE,BRYCE CANYON AIRPORT,37.7,-112.15
KBCT,"Boca Raton, Boca Raton Airport",26.378,-80.107
KBDE,BAUDETTE INTERNATIONAL AIRPORT,48.733,-94.616
KBDL,BRADLEY INTERNATIONAL AIRPORT,41.933,-72.683
KBDR,SIKORSKY MEMORIAL AIRPORT,41.166,-73.133
KBED,BEDFORD HANSCOM FIELD,42.466,-71.3
KBEH,SOUTHWEST MICHIGAN REGIONAL,42.133,-86.416
KBFD,BRADFORD REGIONAL AIRPORT,41.8,-78.633
KBFF,SCOTTSBLUFF HEILIG FIELD,41.866,-103.6
KBFI,SEATTLE BOEING FIELD,47.55,-122.316
KBFL,BAKERSFIELD MEADOWS FIELD,35.433,-119.05
KBFM,MOBILE DOWNTOWN AIRPORT,30.633,-88.066
KBFW,Silver Bay,47.2,-91.4
KBGD,BORGER HUTCHINSON CO AIRPORT,35.7,-101.4
KBGE,"Bainbridge, Decatur County Industrial Air Park Airport",30.966,-84.633
KBGM,BINGHAMTON REGIONAL AIRPORT,42.2,-75.983
KBGR,BANGOR INT'L AIRPORT,44.8,-68.816
KBHB,"Bar Harbor, Hancock County-Bar Harbor Airport",44.45,-68.366
KBHK,BAKER MUNICIPAL AIRPORT,46.35,-104.25
KBHM,BIRMINGHAM INT'L AIRPORT,33.566,-86.75
KBID,"Block Island, Block Island State Airport",41.166,-71.566
KBIE,Beatrice Municipal,40.3,-96.75
KBIF,Biggs Army Air Field / Ft. Bliss,31.85,-106.383
KBIH,BISHOP AIRPORT,37.366,-118.366
KBIL,LOGAN INTERNATIONAL AIRPORT,45.816,-108.55
KBIS,BISMARCK MUNICIPAL AIRPORT,46.783,-100.75
KBIV,HOLLAND TULIP CITY AIRPORT,42.75,-86.1
KBIX,Keesler Air Force Base / Biloxi,30.416,-88.916
KBJC,Broomfield / Jeffco,39.916,-105.116
KBJI,Bemidji,47.5,-94.933
KBJJ,WOOSTER WAYNE COUNTY AIRPORT,40.866,-81.883
KBJN,"Las Vegas, Tonopah Range #74 Nellis AFB",37.616,-116.264
KBKB,"Ft. Polk, Fullerton Landing Strip",31.0,-92.616
KBKE,BAKER MUNICIPAL AIRPORT,44.833,-117.816
KBKF,"Aurora, Buckley Air Force Base Airport",39.71,-104.758
KBKL,CLEVELAND BURKE LAKEFRONT,41.533,-81.666
KBKS,"Falfurrias, Brooks County Airport",27.206,-98.121
KBKT,Ft. Pickett / Blackstone,37.083,-77.95
KBKV,BROOKSVILLE HERNANDO CO AIRPORT,28.466,-82.45
KBKW,RALEIGH COUNTY MEM AIRPORT,37.8,-81.116
KBKX,"Brookings, Brookings Municipal Airport",44.3,-96.816
KBLF,BLUEFIELD MERCER COUNTY AIRPORT,37.3,-81.2
KBLH,BLYTHE AIRPORT,33.616,-114.716
KBLI,BELLINGHAM INTERNATIONAL  AIRPORT,48.8,-122.533
KBLM,Belmar-Farmingdale,40.183,-74.133
KBLU,BLUE CANYON AIRPORT,39.283,-120.7
KBLV,"Belleville, Scott AFB/MidAmerica Airport",38.55,-89.85
KBMG,MONROE COUNTY AIRPORT,39.15,-86.616
KBMI,"Bloomington/Normal, Central Illinois Regional Airport at Bloomington-Normal",40.476,-88.915
KBML,BERLIN MUNICIPAL AIRPORT,44.583,-71.183
KBMQ,BURNET MUNICIPAL CRADDOCK FIELD,30.733,-98.233
KBNA,NASHVILLE INTERNATIONAL  AIRPORT,36.116,-86.683
KBNO,BURNS MUNICIPAL AIRPORT,43.6,-118.95
KBNW,Boone Municipal,42.05,-93.85
KBOI,BOISE AIR TERMINAL,43.566,-116.233
KBOK,"Brookings, Brookings Airport",42.074,-124.29
KBOS,BOSTON LOGAN INTERNATIONAL,42.366,-71.016
KBOW,Bartow Municipal,27.95,-81.783
KBPG,"Big Spring, Big Spring McMahon-Wrinkle Airport",32.2,-101.516
KBPI,BIG PINEY-MARBLETON AIRPORT,42.583,-110.1
KBPK,OZARK REGIONAL AIRPORT,36.366,-92.466
KBPP,"Bowman, Bowman Municipal Airport",46.186,-103.428
KBPT,SOUTHEAST TEXAS RGNL AIRPORT,29.583,-94.133
KBQK,Brunswick / Glynco,31.25,-81.466
KBQX,Brazos 451,28.493,-95.724
KBRD,BRAINERD-CROW WING CO AIRPORT,46.4,-94.133
KBRL,BURLINGTON REGIONAL AIRPORT,40.766,-91.133
KBRO,BROWNSVILLE/SOUTH PADRE IS,25.9,-97.416
KBRX,Bordeaux,41.933,-104.95
KBTL,W.K.KELLOGG REGIONAL AIRPORT,42.3,-85.25
KBTM,BERT MOONEY AIRPORT,45.966,-112.5
KBTP,"Butler, Butler County Airport/K W Scholter Field",40.783,-79.95
KBTR,BATON ROUGE METRO RYAN FIELD,30.533,-91.15
KBTV,BURLINGTON INTERNATIONAL,44.466,-73.15
KBUF,GREATER BUFFALO INTERNATIONAL  AIRPORT,42.933,-78.733
KBUR,BURBANK-GLENDALE-PASADENA,34.2,-118.366
KBUU,"Burlington, Burlington Municipal Airport",42.690,-88.304
KBUY,BURLINGTON ALAMANCE REGIONAL,36.033,-79.466
KBVE,Boothville,29.333,-89.4
KBVI,Beaver Falls Airport,40.766,-80.4
KBVN,"Albion, Albion Municipal Airport",41.728,-98.055
KBVO,BARTLESVILLE MUNICIPAL AIRPORT,36.766,-96.016
KBVS,"Burlington/Mount Vernon, Skagit Regional Airport",48.470,-122.420
KBVX,"Batesville, Batesville Regional Airport",35.733,-91.65
KBVY,BEVERLY MUNICIPAL AIRPORT,42.583,-70.916
KBWD,"Brownwood, Brownwood Regional Airport",31.8,-98.95
KBWG,BOWLING GREEN-WARREN CO RGNL,36.966,-86.416
KBWI,BALTIMORE-WASHINGTON INTERNATIONAL,39.166,-76.683
KBWP,"Wahpeton, Harry Stern Airport",46.243,-96.607
KBXA,"Bogalusa, George R Carr Memorial Air Field",30.813,-89.864
KBYG,BUFFALO JOHNSON COUNTY AIRPORT,44.383,-106.716
KBYH,Eaker Air Force Base,35.966,-89.95
KBYI,BURLEY MUNICIPAL AIRPORT,42.55,-113.766
KBYS,"Fort Irwin/Barstow, Bicycle Lake Army Airfield",35.283,-116.616
KBYY,"Bay City, Bay City Municipal Airport",28.973,-95.863
KBZN,BOZEMAN GALLATIN FIELD,45.783,-111.15
KC09,"Morris, Morris Municipal-James R Washburn Field Airport",41.425,-88.418
KC75,"Lacon, Marshall County Airport",41.019,-89.386
KCAD,Cadillac / Wexford County,44.283,-85.416
KCAE,COLUMBIA METROPOLITAN AIRPORT,33.95,-81.116
KCAG,CRAIG MOFFAT AIRPORT,40.5,-107.516
KCAK,AKRON-CANTON REGIONAL AIRPORT,40.916,-81.45
KCAO,CLAYTON MUNICIPAL AIRPARK,36.45,-103.15
KCAR,CARIBOU MUNICIPAL AIRPORT,46.866,-68.016
KCAV,Clarion,42.75,-93.766
KCBE,"Cumberland, Greater Cumberland Regional Airport",39.615,-78.760
KCBF,Council Bluffs,41.266,-95.766
KCBG,Cambridge Municipal,45.566,-93.266
KCBM,Columbus Air Force Base,33.65,-88.45
KCCO,"Newnan, Newnan Coweta County Airport",33.312,-84.770
KCCR,CONCORD BUCHANAN FIELD,38.0,-122.05
KCCU,"Copper Mountain, Red Cliff Pass",39.467,-106.150
KCCY,Charles City,43.066,-92.616
KCDC,CEDAR CITY MUN AIRPORT,37.7,-113.1
KCDD,"Crane Lake, Scotts Seaplane Base",48.266,-92.483
KCDH,Camden / Harrell Field,33.616,-92.766
KCDJ,CHILLICOTHE AGRI-SCIENCE CTR,39.816,-93.583
KCDR,CHADRON MUNICIPAL AIRPORT,42.833,-103.1
KCDS,CHILDRESS MUNICIPAL AIRPORT,34.433,-100.283
KCDW,CALDWELL ESSEX COUNTY AIRPORT,40.883,-74.283
KCEC,CRESCENT CITY MC NAMARA,41.783,-124.233
KCEF,Chicopee Falls / Westover Air Force Base,42.2,-72.533
KCEU,CLEMSON-OCONEE COUNTY AIRPORT,34.666,-82.883
KCEW,CRESTVIEW SIKES AIRPORT,30.766,-86.516
KCEZ,CORTEZ MONTEZUMA COUNTY AIRPORT,37.3,-108.633
KCFE,"Buffalo, Buffalo Municipal Airport",45.158,-93.843
KCFS,"Caro, Tuscola Area Airport",43.458,-83.445
KCFV,COFFEYVILLE MUNICIPAL AIRPORT,37.083,-95.566
KCGF,Cleveland / Cuyahoga,41.566,-81.483
KCGI,CAPE GIRARDEAU REGIONAL,37.233,-89.583
KCGX,Chicago / Meigs,41.866,-87.6
KCGZ,"Casa Grande, Casa Grande Municipal Airport",32.95,-111.766
KCHA,LOVELL FIELD,35.033,-85.2
KCHD,"Chandler, Chandler Municipal Airport",33.269,-111.811
KCHK,"Chickasha, Chickasha Municipal Airport",35.096,-97.966
KCHO,CHARLOTTESVILLE-ALBEMARLE,38.133,-78.45
KCHS,CHARLESTON INT'L AIRPORT,32.9,-80.033
KCIC,Chico Municipal,39.8,-121.85
KCID,CEDAR RAPIDS AIRPORT,41.883,-91.716
KCIN,Carroll,42.05,-94.783
KCIR,"Cairo, Cairo Regional Airport",37.064,-89.219
KCIU,"Sault Ste Marie, Chippewa County International Airport",46.25,-84.466
KCJR,"Culpeper, Culpeper County Airport",38.526,-77.858
KCKB,HARRISON/MARION REGIONAL,39.3,-80.216
KCKC,"Grand Marais, Grand Marais/Cook County Airport",47.838,-90.383
KCKN,Crookston Municipal Field,47.85,-96.616
KCKP,"Cherokee, Cherokee Municipal Airport",42.731,-95.555
KCKV,CLARKSVILLE OUTLAW FIELD,36.616,-87.416
KCLE,CLEVELAND-HOPKINS INTERNATIONAL,41.4,-81.85
KCLI,"Clintonville, Clintonville Municipal Airport",44.613,-88.731
KCLK,"Clinton, Clinton Regional Airport",35.538,-98.921
KCLL,COLLEGE STN EASTERWOOD FIELD,30.583,-96.366
KCLM,PORT ANGELES FAIRCHILD INTERNATIONAL,48.116,-123.5
KCLT,CHARLOTTE/DOUGLAS INTERNATIONAL,35.216,-80.95
KCMA,CAMARILLO AIRPORT,34.216,-119.083
KCMB,East Cameron 47,29.440,-92.979
KCMH,PORT COLUMBUS INTERNATIONAL  AIRPORT,40.0,-82.883
KCMI,UNIV OF ILLINOIS-WILLARD,40.033,-88.266
KCMX,HANCOCK HOUGHTON CTY. MEMO,47.166,-88.483
KCMY,"Sparta, Sparta / Fort McCoy Airport",43.958,-90.737
KCNB,Myers Field Airport,44.716,-96.266
KCNC,Chariton,41.033,-93.366
KCNK,"Concordia, Blosser Municipal Airport",39.551,-97.650
KCNM,CARLSBAD CAVERN CITY,32.333,-104.266
KCNO,CHINO AIRPORT,33.966,-117.633
KCNU,CHANUTE JOHNSON AIRPORT,37.666,-95.483
KCNY,MOAB CANYONLANDS FIELD,38.766,-109.75
KCOD,Cody,44.516,-109.016
KCOE,"Coeur d'Alene, Coeur d'Alene Air Terminal",47.766,-116.816
KCOF,Cocoa / Patrick Air Force Base,28.233,-80.6
KCOI,"Merritt Island, Merritt Island Airport",28.341,-80.685
KCON,"Concord, Concord Municipal Airport",43.195,-71.501
KCOQ,"Cloquet, Cloquet Carlton County Airport",46.7,-92.5
KCOS,COLORADO SPRINGS MUNI,38.816,-104.716
KCOT,COTULLA-LASALLE COUNTY AIRPORT,28.45,-99.216
KCOU,COLUMBIA REGIONAL AIRPORT,38.816,-92.216
KCPC,"Whiteville, Columbus County Municipal Airport",34.272,-78.715
KCPK,"Chesapeake, Chesapeake Municipal Airport",36.665,-76.320
KCPR,NATRONA COUNTY INTERNATIONAL  AIRPORT,42.9,-106.466
KCPS,ST LOUIS DOWNTOWN AIRPORT,38.566,-90.15
KCPT,"Cleburne, Cleburne Municipal Airport",32.353,-97.433
KCPW,"Pagosa Springs, Wolf Creek Pass",37.451,-106.800
KCQB,"Chandler, Chandler Municipal Airport",35.723,-96.820
KCQC,Clines Corners,35.0,-105.666
KCQM,"Cook, Cook Municipal Airport",47.821,-92.689
KCQT,LOS ANGELES USC CAMPUS,34.033,-118.283
KCQX,CHATHAM MUNICIPAL AIRPORT,41.683,-70.0
KCRE,N. MYRTLE BCH.GRAND STRAND,33.816,-78.716
KCRG,JACKSONVILLE CRAIG MUN,30.333,-81.516
KCRH,West Cameron,28.908,-93.301
KCRP,CORPUS CHRISTI INTERNATIONAL,27.766,-97.516
KCRQ,CARLSBAD MCCLELLAN-PALOMAR,33.133,-117.283
KCRS,CORSICANA AIRFIELD,32.016,-96.383
KCRW,YEAGER AIRPORT,38.366,-81.6
KCSG,COLUMBUS METROPOLITAN AIRPORT,32.516,-84.95
KCSM,CLINTON-SHERMAN AIRPORT,35.35,-99.2
KCSQ,Creston,41.016,-94.366
KCSV,CROSSVILLE MEMORIAL AIRPORT,35.95,-85.083
KCTB,CUT BANK MUNICIPAL AIRPORT,48.6,-112.383
KCTY,CROSS CITY AIRPORT,29.633,-83.1
KCTZ,"Clinton, Sampson County Airport",34.975,-78.364
KCUB,OWENS DOWNTOWN AIRPORT,33.966,-81.0
KCUH,"Cushing, Cushing Municipal Airport",35.949,-96.772
KCUL,"Carmi, Carmi Municipal Airport",38.089,-88.123
KCUT,CUSTER COUNTY AIRPORT,43.733,-103.616
KCVG,CINCINNATI/NORTHERN KY INTERNATIONAL,39.05,-84.666
KCVN,"Clovis, Clovis Municipal Airport",34.433,-103.083
KCVO,"Corvallis, Corvallis Municipal Airport",44.5,-123.283
KCVS,Cannon Air Force Base / Clovis,34.383,-103.316
KCVX,"Charlevoix, Charlevoix Municipal Airport",45.304,-85.274
KCWA,Mosinee / Central Wisconsin,44.783,-89.666
KCWF,Chenault Airpark,30.216,-93.15
KCWI,"Clinton, Clinton Municipal Airport",41.833,-90.333
KCXO,LONE STAR EXECUTIVE AIRPORT,30.35,-95.416
KCXP,Carson City,39.192,-119.732
KCXY,HARRISBURG CAPITAL CITY,40.216,-76.85
KCYS,CHEYENNE AIRPORT,41.15,-104.8
KCZK,Cascade Locks State,45.666,-121.883
KCZZ,Campo,32.626,-116.468
KD07,"FAITH, SOUTH DAKOTA",45.033,-102.016
KD50,Crosby Municipal Airport,48.928,-103.297
KD55,Roberston Field Landon,48.753,-98.393
KD60,Tioga Municipal Airport,48.380,-102.897
KDAA,Fort Belvoir,38.716,-77.183
KDAB,DAYTONA BEACH INTERNATIONAL,29.166,-81.066
KDAG,BARSTOW-DAGGETT AIRPORT,34.85,-116.783
KDAL,DALLAS LOVE FIELD,32.85,-96.85
KDAN,DANVILLE REGIONAL AIRPORT,36.566,-79.333
KDAW,SKYHAVEN AIRPORT,43.283,-70.916
KDAY,COX DAYTON INTERNATIONAL,39.9,-84.216
KDBN,"Dublin, W H 'Bud' Barron Airport",32.564,-82.985
KDBQ,DUBUQUE REGIONAL AIRPORT,42.4,-90.7
KDCA,WASHINGTON NATIONAL AIRPORT,38.85,-77.033
KDCU,PRYOR FIELD,34.65,-86.95
KDDC,DODGE CITY REGIONAL AIRPORT,37.766,-99.966
KDDH,BENNINGTON MORSE STATE AIRPORT,42.883,-73.25
KDEC,DECATUR AIRPORT,39.833,-88.866
KDEH,Decorah,43.283,-91.733
KDEN,DENVER INTERNATIONAL AIRPORT,39.866,-104.666
KDEQ,DE QUEEN HELMS SEVIER COUNTY,34.05,-94.4
KDET,DETROIT CITY AIRPORT,42.416,-83.016
KDEW,DEER PARK AIRPORT,47.966,-117.433
KDFI,DEFIANCE MEMORIAL AIRPORT,41.333,-84.433
KDFW,DALLAS/FT. WORTH INTERNATIONAL  AIRPORT,32.9,-97.033
KDGW,DOUGLAS CONVERSE COUNTY,42.8,-105.383
KDHN,DOTHAN AIRPORT,31.316,-85.45
KDHT,DALHART MUNICIPAL AIRPORT,36.016,-102.55
KDIK,THEODORE ROOSEVELT REGIONAL,46.8,-102.8
KDKB,"De Kalb, De Kalb Taylor Municipal Airport",41.931,-88.708
KDKK,CHAUTAUQUA COUNTY/DUNKIRK,42.5,-79.283
